paper_title,keywords,journal_name
effect of confinement on the seismic performance of reinforced concrete exterior beam-column joints,plastic hinge beam–column joint confinement ductility shear stress,australian journal of structural engineering
experimental investigation on creep behaviour of composite sandwich panels constructed from polystyrene/cement-mixed cores and thin cement sheet facings,composite sandwich panels polystyrene/cement-mixed cores thin cement sheet facings creep recovery irrecoverable creep strain,australian journal of structural engineering
shear strengthening of rc beams using near-surface mounted carbon fibre-reinforced polymers,near-surface mounted carbon fibre-reinforced polymers reinforced concrete beams shear strengthening,australian journal of structural engineering
prediction of early-age creep and cracking age of concrete: a proposed modification for as3600 provisions,tensile creep compressive creep shrinkage prediction model,australian journal of structural engineering
seismic response control by tuned liquid dampers for low-rise rc frame buildings,"tuned liquid damper sloshing force sloshing height flat bottom tld, variable density liquid",australian journal of structural engineering
defect size measurement and far distance infrared detection in cfrp-concrete and cfrp-steel systems,defect size cfrp ptt irt ndt,australian journal of structural engineering
experimental study on crumb rubberised concrete (crc) and reinforced crc slabs under static and impact loads,crumb rubber concrete (crc) reinforced crc slab impact resistance drop-weight test static flexural test,australian journal of structural engineering
effect of soil-foundation-structure interaction and pier column non-linearity on seismic response of bridges supported on shallow foundations,bridge soil–foundation–structure interaction seismic loading shallow foundation rock reinforced concrete pier fem model inelastic response,australian journal of structural engineering
a refined design spectrum model for regions of lower seismicity,design spectrum site classification site natural period resonant amplification australian standard,australian journal of structural engineering
shear strength of rc beams without web reinforcement,shear strength beams and girders concrete structures,australian journal of structural engineering
effect of retrofitting on the structural factors for seismic assessment of unreinforced masonry structures: a review,ductility factor performance factor retrofitting masonry,australian journal of structural engineering
filler to improve concurrent flowability and segregation performance of concrete,concrete filler flowability packing density segregation strength,australian journal of structural engineering
reliability analysis of a super-t prestressed concrete girder at serviceability limit state to as 5100:2017,bridges prestressed concrete super-t reliability analysis australian standards,australian journal of structural engineering
smartphone addiction and its relationship with social anxiety and loneliness,smartphone addiction social phobia loneliness,behaviour and information technology
virtual reality systems enhance students’ achievements in engineering education,virtual reality head mounted display corner cave engineering education and tracking system,behaviour and information technology
user preference of cyber security awareness delivery methods,information security human factor awareness delivery methods social engineering information security programme,behaviour and information technology
personality and technology acceptance: the influence of personality factors on the core constructs of the technology acceptance model,technology acceptance model personality big five survey,behaviour and information technology
cyberloafing at the workplace: gain or drain on work?,cyberloafing internet gender work positive and negative emotion,behaviour and information technology
user experience in social commerce: in friends we trust,social commerce e-commerce social marketing adoption mediating effects moderating effects,behaviour and information technology
understanding customers' loyalty intentions towards online shopping: an integration of technology acceptance model and fairness theory,e-commerce fairness loyalty intention online shopping technology acceptance model trust,behaviour and information technology
recognise misinformation and verify before sharing: a reasoned action and information literacy perspective,misinformation self-efficacy attitude internet skills literacy social media,behaviour and information technology
adoption of travel information in user-generated content on social media: the moderating effect of social presence,social media information sharing travel information adoption elaboration likelihood model social presence smart tourism,behaviour and information technology
smartphone addiction and associated consequences: role of loneliness and self-regulation,smartphone addiction self-regulation loneliness personal family academic performance,behaviour and information technology
validating the distinction between computer addiction and engagement: online game playing and personality,addiction personality computer games computer attitudes,behaviour and information technology
"continuance intention of blog users: the impact of perceived enjoyment, habit, user involvement and blogging time",blog expectation-confirmation theory user involvement perceived enjoyment continuance intention,behaviour and information technology
online stickiness: its antecedents and effect on purchasing intention,website stickiness website design online purchasing intention,behaviour and information technology
empirical study on continuance intentions towards e-learning 2.0 systems,e-learning 2.0 tam is success model social motivations continuance of use intention,behaviour and information technology
a unified model of knowledge sharing behaviours: theoretical development and empirical test,knowledge sharing knowledge management planned behaviours decomposed theory of planned behaviour extrinsic motivators intrinsic motivators,behaviour and information technology
understanding trust and perceived usefulness in the consumer acceptance of an e-service: a longitudinal investigation,trust perceived usefulness longitudinal study electronic service e-service online health service,behaviour and information technology
an investigation of employees' use of e-learning systems: applying the technology acceptance model,technology acceptance model e-learning systems computer self-efficacy prior experience task equivocality organisational support,behaviour and information technology
microbial fuel cells: a sustainable solution for bioelectricity generation and wastewater treatment,microbial fuel cell; wastewater treatment bio-electricity hybrid mfcs carbon capture; desalination biosensor,biofuels
"combustion, performance, vibration and noise characteristics of cottonseed methyl ester–diesel blends fuelled engine",cottonseed methyl ester combustion performance vibration noise,biofuels
energy recovery potential and environmental impact of gasification for municipal solid waste,climate change gasification sustainability waste-to-energy (wte) msw,biofuels
biodiesel from oleaginous microbes: opportunities and challenges,biodiesel oleaginous microbes lipid fatty acid metabolic engineering,biofuels
an overview of transesterification methods for producing biodiesel from waste vegetable oils,vegetable oil biodiesel transesterification supercritical methanolysis,biofuels
feedstocks for biodiesel production: brazilian and global perspectives,babassu palm macaw palm tallow castor jatropha curcas,biofuels
bioconversion of hemicelluloses of lignocellulosic biomass to ethanol: an attempt to utilize pentose sugars,hemicelluloses co-fermentation engineered yeast bioethanol bioeconomics,biofuels
experimental investigation of an unmodified diesel engine operated with ternary fuel,diesel engine biodiesel jatropha pentanol ternary fuel,biofuels
bio-oil: the future of hydrogen generation,bio-oil hydrogen generation biomass,biofuels
analysis of the fuel injection pressure effects on energy and exergy efficiencies of a diesel engine operating with biodiesel,energy analysis exergy analysis biodiesel diesel engine fuel injection pressure,biofuels
investigation of the effects of biogas composition on the performance of a biogas–diesel dual fuel ci engine,biogas dual fuel performance ci engine methane enrichment,biofuels
"effect of light intensity and ph condition on the growth, biomass and lipid content of microalgae scenedesmus species",light intensity ph condition scenedesmus species biomass lipid,biofuels
riemannian geometry for eeg-based brain-computer interfaces; a primer and a review,riemannian geometry electroencephalography classification signal processing covariance matrix decoding geometric mean,brain-computer interfaces
a high-itr ssvep-based bci speller,eeg bci ssvep speller itr,brain-computer interfaces
"a survey of affective brain computer interfaces: principles, state-of-the-art, and challenges",brain computer interfaces affect emotions moods eeg fnirs,brain-computer interfaces
bnci horizon 2020: towards a roadmap for the bci community,bci coordination collaboration society,brain-computer interfaces
brain-computer interface-based control of closed-loop brain stimulation: attitudes and ethical considerations,deep brain stimulation ethics closed-loop patient-controlled end-user perspectives,brain-computer interfaces
heading for new shores! overcoming pitfalls in bci design,bci eeg limitations user-centered design user training signal processing artifacts publication bias,brain-computer interfaces
eeg-based classification of positive and negative affective states,emotion recognition physiological signals electroencephalography discriminant function analysis positive-negative affect,brain-computer interfaces
independent home use of brain painting improves quality of life of two artists in the locked-in state diagnosed with amyotrophic lateral sclerosis,brain-computer interface independent home use locked-in syndrome amyotrophic lateral sclerosis usability user-centered design end-user creative expression,brain-computer interfaces
therapeutic applications of bci technologies,rehabilitation brain-computer interface plasticity,brain-computer interfaces
mental workload classification with concurrent electroencephalography and functional near-infrared spectroscopy,fnirs eeg n-back mental workload multimodal fusion,brain-computer interfaces
brain painting v2: evaluation of p300-based brain-computer interface for creative expression by an end-user following the user-centered design,brain painting user-centered design electroencephalography amyotrophic lateral sclerosis independent home use,brain-computer interfaces
closed-loop interaction with the cerebral cortex: a review of wireless implant technology§,closed-loop micro-electrocorticography brain–computer interface medical device aimds,brain-computer interfaces
"workshops of the sixth international brain–computer interface meeting: brain–computer interfaces past, present, and future","brain–computer interface brain–machine interface, neuroprosthetics conference",brain-computer interfaces
development of a ternary hybrid fnirs-eeg brain–computer interface based on imagined speech,brain-computer interface imagined speech hybrid bci fnirs eeg regularized linear discriminant analysis (rlda) discrete wavelet transform (dwt),brain-computer interfaces
online multi-class brain-computer interface for detection and classification of lower limb movement intentions and kinetics for stroke rehabilitation,movement-related cortical potential brain-computer interface movement kinetic movement intention eeg,brain-computer interfaces
online bci typing using language model classifiers by als patients in their homes,p300 speller electroencephalography amyotrophic lateral sclerosis augmentative and alternative communication,brain-computer interfaces
affective brain-computer interfaces as enabling technology for responsive psychiatric stimulation,affect decoding invasive bci prefrontal cortex mental disorders deep brain stimulation hybrid bci,brain-computer interfaces
recent advances and open challenges in hybrid brain-computer interfacing: a technological review of non-invasive human research,brain-computer interfaces hybrid multimodal eeg nirs body-machine interface physiological computing,brain-computer interfaces
improving bit rate in an auditory bci: exploiting error-related potentials,electroencephalography brain-computer interface (bci) error-related potential auditory p300 bci,brain-computer interfaces
"brain-computer interface based motor and cognitive rehabilitation after stroke – state of the art, opportunity, and barriers: summary of the bci meeting 2016 in asilomar",brain-computer interface stroke rehabilitation motor function cognitive function,brain-computer interfaces
demonstration of a portable intracortical brain-computer interface,portable intracortical brain-computer interface spinal cord injury computer access,brain-computer interfaces
spatio-temporal analysis of error-related brain activity in active and passive brain–computer interfaces,brain-computer interfaces electroencephalography passive bci bci feedback error-related potentials error-related spectral perturbation riemannian geometry common spatial patterns common temporal patterns,brain-computer interfaces
artistic brain-computer interfaces: the expression and stimulation of the user’s affective state,artistic brain-computer interfaces artistic bci affective bci human-computer interaction user experience,brain-computer interfaces
brain connectivity evaluation during selective attention using eeg-based brain-computer interface,brain-computer interface selective attention eeg event-related potential granger causality time-frequency brain connectivity,brain-computer interfaces
asynchronous control of unmanned aerial vehicles using a steady-state visual evoked potential-based brain computer interface,asynchronous steady-state visual evoked potential (ssvep) unmanned aerial vehicle (uav) likelihood ratio test (lrt),brain-computer interfaces
improving motor imagery bci with user response to feedback,motor imagery visual feedback non-stationarity of brain signals error-related spectral perturbation error-related potentials,brain-computer interfaces
effects of local and global spatial patterns in eeg motor-imagery classification using convolutional neural network,eeg electroencephalography mi-bci deep learning image processing video processing,brain-computer interfaces
identifying the attended speaker using electrocorticographic (ecog) signals,brain-computer interface (bci) electrocorticography (ecog) auditory attention cocktail party,brain-computer interfaces
controlling our brains – a case study on the implications of brain-computer interface-triggered deep brain stimulation for essential tremor,neuroethics deep-brain stimulation brain-computer interface essential tremor parkinson’s disease autonomy identity,brain-computer interfaces
increasing brain-computer interface media depictions: pressing ethical concerns,ai bias brain-computer interfaces enhancement ethics media news,brain-computer interfaces
grain character influences on corrosion of ecaped pure magnesium,magnesium grain size corrosion ebsd ecap severe plastic deformation,british corrosion journal
origins of pitting corrosion,pitting stainless steel chloride solution,british corrosion journal
assessment of graphene oxide/epoxy nanocomposite as corrosion resistance coating on carbon steel,graphene oxide nanocomposite coating eis corrosion protection,british corrosion journal
on the volta potential measured by skpfm – fundamental and practical aspects with relevance to corrosion science,volta potential scanning kelvin probe force microscopy surface potential work function nobility corrosion,british corrosion journal
cerium-based conversion coatings on aluminium alloys: a process review,review aluminium cerium rare earth conversion coating,british corrosion journal
effect of environmental factors on steel plate corrosion under marine immersion conditions,corrosion environmental marine immersion steel,british corrosion journal
influence of pseudomonas aeruginosa bacteria on corrosion resistance of 304 stainless steel,stainless steel microbiological corrosion afm sem,british corrosion journal
"magnesium biomaterials: past, present and future",magnesium biomaterial in vitro corrosion in vivo coating,british corrosion journal
biodegradation mechanisms of polyurethane elastomers,polyurethane biodegradation corrosion review,british corrosion journal
an overview of the canadian corrosion program for the long-term management of nuclear waste,nuclear waste management corrosion deep geological repository used fuel container,british corrosion journal
the effect of surface modification on the corrosion protection ability of the passive films of sensitized uns s31803 duplex stainless steel,uns s31803 duplex stainless steel sensitisation heat treatment mott–schottky analysis repetitive cyclic passivation roughness,british corrosion journal
estimation of the properties of corroded steel plates exposed to salt-spray atmosphere,corrosion morphology characterisation performance degradation empirical models numerical analysis,british corrosion journal
nature of the near-field environment in a deep geological repository and the implications for the corrosion behaviour of the container,used fuel container near-field environment evolution localised corrosion nuclear waste,british corrosion journal
a reinterpretation of the romanoff nbs data for corrosion of steels in soils,soils steel corrosion moisture inhomogeneity interface buried conditions,british corrosion journal
effect of corrosion degradation on ultimate strength of steel box girders,corrosion ultimate strength mechanical properties steel,british corrosion journal
characterisation of titanium oxide films by potentiodynamic polarisation and electrochemical impedance spectroscopy,anatase anodising corrosion electrochemical impedance spectroscopy titanium oxide,british corrosion journal
design and development of copper coatings for long term storage of used nuclear fuel,nuclear waste copper corrosion cold spray electrodeposition deep geological repository used nuclear fuel,british corrosion journal
"comparative study on corrosion behaviour of pure mg and we43 alloy in static, stirring and flowing hank’s solution",biodegradable stents magnesium alloys corrosion flowing condition,british corrosion journal
effects of heat-stable salts on the corrosion behaviours of 20 steel in the mdea/h2s/co2 environment,heat-stable salt corrosion inorganic salt organic salt mdea 20 steel,british corrosion journal
crystallographic defects induced localised corrosion in aa2099-t8 aluminium alloy,aluminium corrosion dislocations electron microscopy,british corrosion journal
an overview of the nordic mine ventilation system,auxiliary fan energy-efficient heating system natural-assisted refrigeration regulation variable speed drive ventilation-on-demand (vod) a faible consommation réfrigération naturelle régulation système de chauffage variateur de vitesse ventilateur auxiliaire ventilation à la demande (vod),cim journal
evaluation of the effects of diesel oxidation catalysts on no2 emissions from diesel-powered mining vehicles,after-treatment devices diesel emission control technologies diesel emissions diesel oxidation catalysts mining vehicles no2 underground air quality catalyseurs d’oxydation diesel dispositifs de suivi émissions diesel no2 qualité de l’air souterrain technologies de contrôle des émissions diesel véhicules miniers,cim journal
a simulation-based algorithm for solving surface mines’ equipment selection and sizing problem under uncertainty,"fleet productivity open-pit mining simulation the size of the required fleet tonne per gross operating hour (tpgoh) exploitation minière à ciel ouvert productivité du parc simulation taille du parc requis tonne par heure brute d’exploitation (tpgoh, de l’anglais tonne per gross operating hour)",cim journal
"tailings dam closure scenarios, risk communication, monitoring, and surveillance in alberta",alberta closure coal mine long-term behavior oil sands mine tailings dam alberta barrage de résidus comportement à long terme fermeture mine de charbon mine de sables bitumineux,cim journal
risk assessment for tailings management,factor of safety level of engineering probability of failure risk assessment tailings management évaluation des risques facteur de sûreté gestion des résidus miniers niveau d’ingénierie probabilité de défaillance,cim journal
computational fluid dynamics modeling of methane flame interaction with simulated rock rubble,"computational fluid dynamics flame propagation longwall coal mining methane combustion combustion de méthane, dynamique computationnelle des fluides, extraction de charbon à longue paroi, propagation de flamme",cim journal
review on photocatalytic conversion of carbon dioxide to value-added compounds and renewable fuels by graphitic carbon nitride-based photocatalysts,co2 reduction g-c3n4 photocatalysts environmental pollution,catalysis reviews
identification of neutral and charged n x o y surface species by ir spectroscopy,adsorption environmental catalysis ir spectroscopy nitrates nitrites nitrogen oxides no decomposition selective catalytic reduction,catalysis reviews
water gas shift catalysis,water gas shift hydrogen production co conversions fuel processor fuel cell iron oxide catalysts copper‐zinc oxide catalysts pt catalysts redox mechanism formate mechanism high temperature shift low temperature shift sour gas shift chromium‐free catalysts,catalysis reviews
kinetics and selectivity of the fischer–tropsch synthesis: a literature review,fischer–tropsch synthesis carbon monoxide hydrogenation water–gas shift product distribution kinetic modeling,catalysis reviews
the state of the art in selective catalytic reduction of nox by ammonia using metal‐exchanged zeolite catalysts,nh3‐scr chemistry selective catalytic reduction of no with ammonia metal‐exchanged zeolites fe‐zsm‐5 active site hydrothermal aging preparation method exchange degree activity stability,catalysis reviews
selective hydrogenation of ethyne in ethene‐rich streams on palladium catalysts. part 1. effect of changes to the catalyst during reaction,palladium catalysts ethyne hydrogenation carbonaceous deposits effect of β‐pdh phase effect of pdcx phase,catalysis reviews
advances on methane steam reforming to produce hydrogen through membrane reactors technology: a review,catalysts hydrogen membrane reactor methane steam reforming,catalysis reviews
hydrogen bond activation strategy for cyclic carbonates synthesis from epoxides and co2: current state-of-the art of catalyst development and reaction analysis,carbon dioxide epoxide cyclic carbonate hydrogen bond ionic liquid reaction mechanism,catalysis reviews
carbon nanofibers: catalytic synthesis and applications,carbon graphite carbon nanofibers carbon nanotubes carbon filaments filamentous carbon catalytic synthesis catalyst support gas storage,catalysis reviews
a review on the pd-based three-way catalyst,three-way catalyst oxygen storage capacity palladium catalyst configuration mechanism and kinetics,catalysis reviews
"generation, characterization, and impact of mesopores in zeolite catalysts",zeolites mesopores micropores catalysis hydrocarbons diffusion,catalysis reviews
siting and distribution of framework aluminium atoms in silicon-rich zeolites and impact on catalysis,si-rich zeolites zsm-5 beta zeolite ferrierite mordenite mcm-22 al siting al distribution catalytic activity zeolite synthesis,catalysis reviews
diesel oxidation catalysts,diesel oxidation catalyst engine emissions no oxidation co oxidation hydrocarbon oxidation,catalysis reviews
recent advances on tio2-based photocatalysts toward the degradation of pesticides and major organic pollutants from water bodies,pesticides titanium dioxide (tio2) photocatalysts wastewater carbamates triazine organophosphorous pesticides,catalysis reviews
"selective hydrogenation of ethyne in ethene‐rich streams on palladium catalysts, part 2: steady‐state kinetics and effects of palladium particle size, carbon monoxide, and promoters",palladium catalysts ethyne hydrogenation carbonaceous deposits kinetic models metal dispersion promoters,catalysis reviews
aromatic hydrogenation catalysis: a review,aromatic hydrogenation aromatic reduction in diesel hydrotreating,catalysis reviews
oxidative desulfurization of hydrocarbon fuels,oxidative desulfurization ultra-deep desulfurization refractory sulfur compound dibenzothiophene benzothiophene diesel fuel crude oil fractions,catalysis reviews
catalytic combustion of methane over palladium-based catalysts,methane combustion supported palladium catalyst oxidation/reduction mechanisms restructuring inhibitory effects,catalysis reviews
catalysis by gold,chemical and physical properties of gold preparation and characterization of active gold catalysts chemisorption on gold surfaces and gold catalysts descriptions of reactions catalyzed by gold analysis of reasons for activity of gold catalysts,catalysis reviews
progress in the design of zeolite catalysts for biomass conversion into biofuels and bio-based chemicals,biomass conversion hierarchical porosity multifunctional catalysts zeolites,catalysis reviews
propane aromatization over hzsm‐5 and ga/hzsm‐5 catalysts,alkane activation aromatization hydrocarbon reactions on zeolites kinetic modeling computational catalysis,catalysis reviews
catalytic applications of early/late heterobimetallic complexes,bimetallic heterobimetallic mixed-metal systems transition metals,catalysis reviews
"the acidity of zeolites: concepts, measurements and relation to catalysis: a review on experimental and theoretical methods for the study of zeolite acidity",acidity zeolites acidity characterization model reactions acidity-activity relationships,catalysis reviews
estimation of pure-component properties from group-contributions,viscosity critical properties ideal gas group contributions estimation methods,chemical engineering communications
the unit problem in the thermodynamic calculation of adsorption using the langmuir equation,langmuir equation standard equilibrium constant standard gibbs free energy,chemical engineering communications
reviews on corrosion inhibitors: a short view,corrosion corrosion inhibitor mechanism metal dissolution metals review,chemical engineering communications
photocatalytic degradation of ciprofloxacin antibiotic by tio2 nanoparticles immobilized on a glass plate,ciprofloxacin degradation glass immobilization nano-photocatalyst tio2,chemical engineering communications
"heavy metals removal from aqueous solutions using tio2, mgo, and al2o3 nanoparticles",aqueous solutions heavy metals nanoparticles removal,chemical engineering communications
ruthenium nanocatalysts for ammonia synthesis: a review,ammonia synthesis b5 sites nanocatalyst ruthenium structure sensitivity,chemical engineering communications
on the kinetics between co2 and alkanolamines both in aqueous and non-aqueous solutions. an overview,kinetics alkanolamines carbon dioxide,chemical engineering communications
similarity solution for unsteady heat and mass transfer from a stretching surface embedded in a porous medium with suction/injection and chemical reaction effects,chemical reaction porous medium similarity solutions unsteady flow,chemical engineering communications
"adsorptive removal of fluoride from water by activated carbon derived from cacl2-modified crocus sativus leaves: equilibrium adsorption isotherms, optimization, and influence of anions",activated carbon central composite design crocus sativus fluoride response surface methodology,chemical engineering communications
mhd free convection flow of a nanofluid past a vertical plate in the presence of heat generation or absorption effects,brownian motion heat generation/absorption mhd nanofluid natural convection suction/injection thermophoresis,chemical engineering communications
various strategies for reducing nox emissions of biodiesel fuel used in conventional diesel engines: a review,biodiesel egr fuel additives fuel composition hcci ltc nox reduction pcci rcci scr water oil emulsions astm american standards of testing metals b blend (b20 means mixture of 20% of biodiesel and 80% of diesel) n2 nitrogen o2 oxygen co2 carbon dioxide co carbon monoxide hc hydrocarbon nox oxides of nitrogen egr exhaust gas recirculation bte brake thermal efficiency bsfc brake specific fuel consumption scr selective catalytic reduction lnt lean nitrogen traps ceo2 cerium oxide nh3 ammonia hvo hydrotreated vegetable oil ltc low temperature combustion hcci homogeneous charge compression ignition pcci premixed charge compression ignition rcci reactivity controlled compression ignition,chemical engineering communications
effect of temperature on the adsorption of methylene blue dye onto sulfuric acid–treated orange peel,adsorption isotherms kinetics mb dye mechanism thermodynamics,chemical engineering communications
adsorption characteristics of congo red from aqueous solution onto tea waste,adsorption anionic dye congo red physical treatment tea waste thermodynamic parameters,chemical engineering communications
secondary nucleation: mechanisms and models,attrition contact industrial crystallizers mathematical models mechanisms secondary nucleation shear,chemical engineering communications
insight into the adsorption mechanism of cationic dye onto biosorbents derived from agricultural wastes,adsorption mechanism agricultural waste biopolymer biosorbent cationic dye,chemical engineering communications
matrimid® 5218 in preparation of membranes for gas separation: current state-of-the-art,"blending gas separation matrimid membrane characterization mixed matrix membrane polyimide aptmds: bis(3-aminopropyl)-tetra-methyldisiloxane afm: atomic force microscopy atr-ir: attenuated total reflectance infrared btda: 3,3,4,4-benzophenone tetracarboxylic dianhydride cms: carbon molecular sieves cms: carbon membranes cnt: carbon nanotube cu-bpy-hfs: cu-4,4′-bypyridine-hexafluorosilicate dapi: diaminophenylindane dls: dynamic light scattering drift: diffuse-reflectance infrared fourier-transform dsc: differential scanning calorimetry dtg: derivative thermal gravimetric ffv: fractional free volume fe-sem: field emission scanning electron microscopy ftir: fourier transform infrared spectroscopy mmm: mixed matrix membrane mof: metal organic framework nay zeolite: sodium zeolite-y pals: positron annihilation lifetime spectroscopy pan: polyacrylonitrile pbi: poly[2,2′-(1,3- phenylene)-5,5′-bibenzimidazole] pdms: polydimethylsiloxane peg: polyethylene glycol pes: polyethersulfone pi: polyimide pim: polymer of intrinsic microporosity plm: polarized light microscopy pps: poly(1,4-phenylene sulfide) psf: polysulfone sem: scanning electron microscopy tem: transmission electron microscopy tg: glass transition tga: thermal-gravimetric analysis xps: x-ray photoelectron spectroscopy xrd: x-ray diffraction zif: zeolitic imidazolate framework zsm-5: zeolite socony mobil-5",chemical engineering communications
"oil and gas produced water management: a review of treatment technologies, challenges, and opportunities",challenges and opportunities oil and gas production produced water wastewater reuse,chemical engineering communications
microwave-assisted preparation of mesoporous-activated carbon from coconut (cocos nucifera) leaf by h3po4 activation for methylene blue adsorption,activated carbon adsorption coconut leaf methylene blue microwave phosphoric acid,chemical engineering communications
flow of an eyring-powell non-newtonian fluid over a stretching sheet,boundary layer flow eyring-powell model keller box method non-newtonian fluid numerical solution stretching sheet,chemical engineering communications
innovative applications of ionic liquids as “green” engineering liquids,electrochemistry engineering fluid green technology heat transfer fluid industrial application ionic liquid,chemical engineering communications
stagnation-point flow over a shrinking sheet in a micropolar fluid,dual solutions fluid mechanics micropolar fluid shrinking sheet stagnation-point flow,chemical engineering communications
mechanical and corrosion properties of brass exposed to waste sunflower oil biodiesel-diesel fuel blends,biodiesel brass brinell hardness number corrosion mechanical properties tensile strength,chemical engineering communications
flow and heat transfer for three-dimensional flow over an exponentially stretching surface,boundary layer exponentially stretching surface heat transfer similarity solution three-dimensional flow,chemical engineering communications
the resistance to motion of a solid sphere in a fluid,drag stokes' law creeping flow,chemical engineering communications
a kinetic model for the production of liquids from the flash pyrolysis of biomass,flash biomass pyrolysis tar reaction model fluidized bed reactor,chemical engineering communications
preparation of magnetic graphene oxide/chitosan composite beads for effective removal of heavy metals and dyes from aqueous solutions,adsorption chitosan graphene oxide magnetite nickel ions reactive blue 19,chemical engineering communications
preparation of ctab-functionalized aqai stalk and its efficient application as adsorbent for the removal of direct blue 15 and direct red 23 dyes from aqueous media,adsorption aqai stalks direct blue 15 and direct red 23 efficient adsorbents hexadecyltrimethylammonium bromide (ctab) synthetic effluent,chemical engineering communications
quadratic programming solution of dynamic matrix control (qdmc),constraints dynamic matrix control (dmc) model-predictive control multivariable control quadratic programming (qp),chemical engineering communications
beneficial role of surfactants as corrosion inhibitors in petroleum industry: a review article,corrosion inhibitors critical micelle concentration petroleum fields pipelines self-assembly molecules surfactants,chemical engineering communications
an inexact two-stage stochastic programming model for water resources management under uncertainty,two-stage stochastic programming water resources inexact optimization uncertainty decision making,civil engineering systems
constraint-handling using an evolutionary multiobjective optimization technique,genetic algorithms constraint-handling multiobjective optimization self-adaptation evolutionary optimization numerical optimization,civil engineering systems
a technical note on the inclusion of pressure dependent demand and leakage terms in water supply network models,mathematical models network analysis simulation water distribution,civil engineering systems
a grey linear programming approach for municipal solid waste management planning under uncertainty,grey systems theory grey linear rjrogramming uncertainty municipal solid waste management decision making,civil engineering systems
landslide susceptibility modelling using different advanced decision trees methods,landslides machine learning random forest (rf) gis logistic model tree (lmt) alternating decision tree (adt),civil engineering systems
forensic project management: the underlying causes of rework in construction projects,australia contract documentation design firms quality rework,civil engineering systems
identification of green building attributes for the development of an assessment tool: a case study in india,green building rating system sustainable development principle component analysis (pca),civil engineering systems
"grey water in buildings: a mini-review of guidelines, technologies and case studies",buildings grey water reuse treatment technologies,civil engineering systems
comparison of different ann techniques in river flow prediction,feed-forward neural networks radial basis function generalized regression neural networks continuous and intermittent river flow prediction,civil engineering systems
simulation of post-earthquake water supply system restoration,earthquake water supply restoration discrete event simulation lifeline modelling,civil engineering systems
integrating disciplinary contributions to achieve community resilience to natural disasters,resilience interdisciplinary natural disasters,civil engineering systems
an analysis of utility tunnel viability in urban areas,utility tunnel urban planning utilities sustainability,civil engineering systems
faith and fakes – dealing with critical information in decision analysis,risk communication fake news bayesian decision analysis,civil engineering systems
daily reference evapotranspiration for california using satellite imagery and weather station measurement interpolation,evapotranspiration satellite imaging remote sensing sensor systems,civil engineering systems
an efficient method for structural damage detection using a differential evolution algorithm-based optimisation approach,structural damage detection optimisation method differential evolution algorithm measurement noise,civil engineering systems
genetic algorithm for contaminant source characterization using imperfect sensors,water distribution system water security epanet contamination genetic algorithm inverse modelling optimization,civil engineering systems
a comparative analysis of building environmental assessment tools and suggestions for regional adaptations,sustainability environmental assessment breeam ceequal leed® casbee green star sbtool,civil engineering systems
sensitivity and importance measures in structural reliability,probability theory reliability safety sensitivity measures importance measures random variables,civil engineering systems
optimal strategy for inspection and repair of structural systems,maintenance strategy non-linear optimization structural reliability mathematical modelling,civil engineering systems
a grey fuzzy linear programming approach for municipal solid waste management planning under uncertainty,grey fuzzy linear programming municipal solid waste management grey systems theory grey linear programming uncertainty fuzzy linear programming,civil engineering systems
developing effective vegetation bioshield for tsunami protection,pandanus odoratissimus casuarina equisetifolia tsunami protection coastal vegetation numerical simulation,civil engineering systems
"come back sociotechnical systems theory, all is forgiven …",sociotechnical systems civil engineering systems organisation design,civil engineering systems
impact assessment of urban wet-weather sewer discharges on the vernavola river (northern italy),monitoring campaigns combined sewer overflows ecological impact assessment receiving water body,civil engineering systems
development of rehabilitation plans for water mains replacement considering risk and cost-benefit assessment,pipe burst modelling water mains rehabilitation investment/benefit optimisation renewal planning,civil engineering systems
optimal design of water distribution networks for fuzzy demands,fuzzy linear programming fuzzy optimization pipe network water distribution network water supply,civil engineering systems
linking disaster resilience and sustainability,resilience systems thinking discount rate complex adaptive systems climate change sustainable development,civil engineering systems
investigation of factors affecting a construction waste recycling decision,analytic hierarchy process construction waste exploratory factor analysis recycling,civil engineering systems
the systems stance,systems model reality subjectivity value quality time uncertainty reailience,civil engineering systems
effect of addition of sawdust ash to clay bricks,sawdust ash clay linear shrinkage compressive strength water absorption,civil engineering systems
‘resilience thinking’ in transport planning,resilience transport planning recovery reliability sustainability,civil engineering systems
an inexact two-stage stochastic programming model for water resources management under uncertainty,two-stage stochastic programming water resources inexact optimization uncertainty decision making,civil engineering and environmental systems
constraint-handling using an evolutionary multiobjective optimization technique,genetic algorithms constraint-handling multiobjective optimization self-adaptation evolutionary optimization numerical optimization,civil engineering and environmental systems
a technical note on the inclusion of pressure dependent demand and leakage terms in water supply network models,mathematical models network analysis simulation water distribution,civil engineering and environmental systems
a grey linear programming approach for municipal solid waste management planning under uncertainty,grey systems theory grey linear rjrogramming uncertainty municipal solid waste management decision making,civil engineering and environmental systems
landslide susceptibility modelling using different advanced decision trees methods,landslides machine learning random forest (rf) gis logistic model tree (lmt) alternating decision tree (adt),civil engineering and environmental systems
forensic project management: the underlying causes of rework in construction projects,australia contract documentation design firms quality rework,civil engineering and environmental systems
