publication_title,title_id,Aim
drying technology,ldrt20,"  dr. arun s. mujumdar received the doctor honoris causa award from lodz technical university in june 2008! find out more
  drying technology explores the science and technology, and the engineering aspects of drying, dewatering, and related topics.
  articles in this multi-disciplinary journal cover the following themes:
fundamental and applied aspects of dryers in diverse industrial sectors
mathematical modeling of drying and dryers
computer modeling of transport processes in multi-phase systems
material science aspects of drying
transport phenomena in porous media
design, scale-up, control and off-design analysis of dryers
energy, environmental, safety and techno-economic aspects
quality parameters in drying operations
pre- and post-drying operations
novel drying technologies
this peer-reviewed journal provides an archival reference for scientists, engineers, and technologists in all industrial sectors and academia concerned with any aspect of thermal or nonthermal dehydration and allied operations.
  all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts. 

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
edpacs,uedp20,"edpacs is the world’s longest running it audit newsletter. published monthly, the newsletter supports the audit and control community with highly-regarded guidance in the fields of audit, control, and security. in addition, edpacs regularly explores current and emerging issues around it governance.
the publication provides essential information for managing the integrity of a modern, high performing enterprise. feature articles by leading practitioners provide advice and guidance on the issues it auditors, information security practitioners, and other it managers and staff face today, or will struggle with tomorrow.
edpacs strives to provide pragmatic solutions to current issues through the publication of comprehensive articles which allow various topics to be explored in depth. edpacs also covers the cisa examination content areas:
the is audit process 
management, planning, and organization of information systems 
technical infrastructure and operational planning
protection of information assets
disaster recovery and business continuity
business application system development, acquisition, implementation, and maintenance
business process evaluation and risk management
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to single blind peer review by various independent experts on the edpacs editorial board.
  publication office: taylor and francis group, 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
epe journal,tepe20,"the scope of the epe journal is to supply all experts in the field of power electronics and drives, with the most recent information on the rapid evolution in the field of power electronics, drives and industrial applications.
alongside contributions from scientists, the journal also wants to attract contributions from those who are designing and producing power electronics systems and those who are involved in the applications of those systems in industrial processes.
in addition to original research articles, information is supplied on new products, industrial developments, company portraits, the epe association as well as international organizations such as the european commission.
the epe journal is recognized as a truly european specialized journal on power electronics, drives and applications of a very high scientific and technological level. the journal is in close relation with the bi-annual epe conference, the leading european conference in the field, which brings manufacturers, researchers and users together.
topics include, but are not limited to:
application of control methods to electrical systems
devices
education
electrical machines and adjustable speed drives
measurements and sensors
modulation strategies and specific control methods for static converter
motion control and robotics
power electronic system design and packaging
power electronics and drives in aerospace and space
power electronics and drives in surface transport
power electronics converter circuits
power electronics in generation, transmission and distribution of electrical energy
power supplies
systems engineering
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
electric machines and power systems,uemp19,home all journals electric machines and power systems aims and scope
electric power components and systems,uemp20,"electric power components and systems publishes original theoretical and applied papers of permanent reference value related to the broad field of electric machines and drives, power electronics converters, electromechanical devices, electrical equipment, renewable and sustainable electric energy applications, and power systems.

specific topics covered include:
electric machines
solid-state control of electric machine drives
power electronics converters
electromagnetic fields in energy converters
renewable energy generators and systems
power system planning
transmission and distribution
power system protection
dispatching and scheduling
stability, reliability, and security
renewable energy integration
smart-grid and micro-grid technologies
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts.

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
electromagnetics,uemg20,"publishing eight times per year, electromagnetics  offers refereed papers that span the entire broad field of electromagnetics and serves as an exceptional reference source of permanent archival value. included in this wide ranging scope of materials are developments in electromagnetic theory, high frequency techniques, antennas and randomes, arrays, numerical techniques, scattering and diffraction, materials, and printed circuits. the journal also serves as a forum for deliberations on innovations in the field. additionally, special issues give more in-depth coverage to topics of immediate importance.
  all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. submissions can be made via email or postal mail. 

publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
readership:
electrical engineers; antenna and radar specialists; space, communications, optics, and instrumentation engineers.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
energy sources,ueso19,home all journals energy sources aims and scope
"energy sources, part a: recovery, utilization, and environmental effects",ueso20,"energy sources part a: recovery, utilization, and environmental effects aims to investigate resolutions for the continuing increase in worldwide demand for energy, the growing impact of energy use on the environment and climate, and the energy transition needed to sustainably address these challenges. energy sources, part a: recovery, utilization, and environmental effects accepts the following types of article: original articles, letter to the editor.
you are invited to submit manuscripts that explore the technological, scientific and environmental aspects of:
biofuels and bioenergy
coal energy
carbon capture, storage, and utilization
decarbonization of energy systems
energy from waste
energy storage and flexible generation
energy efficiency
environmental impacts of smart technologies
environmental impacts of energy sources
energy transition
gas energy
geothermal energy
greenhouse gas removal
nuclear energy
oil shale energy
petroleum and processing industry
smart technologies in energy applications
solar energy
wind energy
please note that this journal only publishes manuscripts in english.
readership:professionals involved in energy extraction and conversion, as well as all those concerned with the relationship between energy and the environment.
we operate a rigorous single-blind peer review process, you can visit our instructions for authors page for information on preparing your manuscript.
author benefits
we are abstracted and indexed in several databases including the science citation index, scopus and more.
the prestigious and experienced members of our international editorial board will guide you from submission to publication.
our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
"energy sources, part b: economics, planning, and policy",uesb20,"home all journals energy sources, part b: economics, planning, and policy aims and scope"
engineering management journal,uemj20,home all journals engineering management journal aims and scope
engineering optimization,geno20,"engineering optimization is an interdisciplinary engineering journal which serves the large technical community concerned with quantitative computational methods of optimization, and their application to engineering planning, design, manufacture and operational processes. the policy of the journal treats optimization as any formalized numerical process for improvement. algorithms for numerical optimization are therefore mainstream for the journal, but equally welcome are papers which use the methods of operations research, decision support, statistical decision theory, systems theory, logical inference, knowledge-based systems, artificial intelligence, information theory and processing, and all methods which can be used in the quantitative modelling of the decision-making process.
innovation in optimization is an essential attribute of all papers but engineering applicability is equally vital. engineering optimization aims to cover all disciplines within the engineering community though its main focus is in the areas of environmental, civil, mechanical, aerospace and manufacturing engineering. papers on both research aspects and practical industrial implementations are welcomed.
all submitted manuscripts are subject to initial appraisal by the editors, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
engineering studies,test20,"engineering studies is an interdisciplinary, international journal devoted to the scholarly study of engineers and engineering. its mission is threefold:
  1. to advance critical analysis in historical, social, cultural, political, philosophical, rhetorical, and organizational studies of engineers and engineering;
2. to help build and serve diverse communities of researchers interested in engineering studies;
3. to link scholarly work in engineering studies with broader discussions and debates about engineering education, research, practice, policy, and representation.

the editors of engineering studies are interested in papers that consider the following questions:
• how does this paper enhance critical understanding of engineers or engineering?
• what are the relationships among the technical and nontechnical dimensions of engineering practices, and how do these relationships change over time and from place to place?

researchers in technical communication, technical work, and engineering education research should take special note of the journal's emphasis on critical analysis. it does not publish manuscripts that seek only to improve the effectiveness of engineering education and engineering work in existing terms.
engineering studies publishes a variety of article types. please see the instructions for authors for more information.
engineering studies is published three times yearly by routledge, an imprint of the taylor and francis group, beginning in 2009.
 

vision statement
the field of engineering studies is a diverse, interdisciplinary arena of scholarly research built around the question: what are the relationships among the technical and the nontechnical dimensions of engineering practices, and how do these relationships change over time and from place to place? addressing and responding to this question can sometimes involve researchers as critical participants in the practices they study, including, for example, engineering formation, engineering work, engineering design, equity in engineering (gender, racial, ethnic, class, geopolitical), and engineering service to society.

engineering studies juxtaposes contributions from distinct disciplinary and analytical perspectives to encourage authors and readers to look beyond familiar theoretical, topical, temporal, and geographical boundaries for insight and guidance. the diversity in the editorial staff and board is designed to map the diversity in the field and support its persistence. while prospective authors are invited to reflect on and anticipate how their work might prove helpful to others elsewhere, both within the academy and beyond, they can also feel comfortable imagining familiar audiences and producing familiar modes of analysis and interpretation. the heterogeneity of perspectives in engineering studies is its lifeblood, and the goal is high quality scholarship in every case.  
  peer review policy
all submitted manuscripts are subject to initial appraisal by the editor.  if found suitable for further consideration, papers are subject to peer review by independent, anonymous expert referees. all peer review is double blind and submissions can be made online at http://mc.manuscriptcentral.com/jeng.  

publishing ethics
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of committee of publications ethics (cope) and utilises crosscheck for all journals. more information on our ethical standards and policies can be found here: http://authorservices.taylorandfrancis.com/ethics-for-authors/
the journal has an appeals and complaints policy which can be viewed here: https://authorservices.taylorandfrancis.com/peer-review-appeals-and-complaints-from-authors/. 
  engineering studies editorial board
  instructions for authors

  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
enterprise information systems,teis20,"enterprise information systems (eis) is a world-leading journal focusing on both the technical and applications aspects of eis technology, and the complex and cross-disciplinary problems of enterprise integration that arise in integrating extended enterprises in a contemporary global supply chain environment. techniques developed in mathematical science, computer science, manufacturing engineering, and operations management used in the design or operation of eis will also be considered.
specific topics of interest include, but are not limited to:
eis design, applications, implementation, and impact in industrial sectors including manufacturing, service, healthcare, environment, energy and government
eis and e-logistics, global e-supply chain management, supplier relationship management (srm), and customer relationship management (crm)
enterprise resource planning (erp)
business intelligence, business process and workflow modelling, analysis, integration, monitoring, and management
enterprise modelling and simulation, integration, and enterprise engineering
enterprise computing concepts for internet of things (iot), rfid, electronic and mobile commerce, e-finance, e-payment, telecommunications, automotive, aerospace, command and control, defence, healthcare, and government
inter-enterprise collaboration and virtual enterprises
enterprise architecture design and modelling, cloud computing and big data analytics (bda),  model-driven architecture (mda), component-oriented architecture, service-oriented architecture (soa), collaborative development, and co-operative engineering
integration of (legacy) enterprise applications and information, integrated systems, e-factories, integrated manufacturing systems, and industrial informatics
evolution, innovation and management of enterprise computing systems
realization technologies for enterprise computing, including ontologies and semantic web support, middleware standards and systems, such as corba and j2ee, modelling and description languages, such as xml, rdf, owl, and uml
enterprise computing tools and methodologies.
principles of data, information and knowledge management models in eis
trust, security and privacy issues in enterprise computing
quality assurance and maintenance issues in enterprise computing
systems research, systems engineering and iot strategies for enterprises
  eis therefore encourages original submissions in these and other related areas. the journal will consider original articles, short papers, review papers and technical notes. responses to articles and correspondence will also be considered at the editor-in-chief’s discretion.
  proposals for special issues in cutting-edge areas are encouraged, and should be discussed directly with the editor-in-chief.
  all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to rigorous and rapid peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts.
  queries regarding submissions can be made by contacting the editor-in-chief, whose decision is final.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
ergonomics,terg20,"ergonomics, also known as human factors, is the scientific discipline that seeks to understand and improve human interactions with products, equipment, environments and systems. drawing upon human biology, psychology, engineering and design, ergonomics aims to develop and apply knowledge and techniques to optimise system performance, whilst protecting the health, safety and well-being of individuals involved. the attention of ergonomics extends across work, leisure and other aspects of our daily lives.
  the journal ergonomics is an international refereed publication, with a 60 year tradition of disseminating high quality research. original submissions, both theoretical and applied, are invited from across the subject, including physical, cognitive, organisational and environmental ergonomics. papers reporting the findings of research from cognate disciplines are also welcome, where these contribute to understanding equipment, tasks, jobs, systems and environments and the corresponding needs, abilities and limitations of people.
all published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees.


disclaimer

taylor and francis makes every effort to ensure the accuracy of all the information (the “content”) contained in its publications. however, taylor and francis and its agents and licensors make no representations or warranties whatsoever as to the accuracy, completeness or suitability for any purpose of the content and disclaim all such representations and warranties whether express or implied to the maximum extent permitted by law. any views expressed in this publication are the views of the authors and are not the views of taylor and francis.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
european journal of engineering education,ceee20,"european journal of engineering education is a forum for scholarly dialogue to further engineering education.
the journal embraces multiple perspectives to examine relevant conditions, developments, approaches, methods and experiences relevant for the education of engineers.
it is a european journal with global readership and authorship. while the european context is emphasised, papers presenting wider international or intercultural dimensions, of interest to our readers, could also be considered for publication.
the journal focuses on higher engineering education. it could also consider related contexts of general interest to the engineering education community, such as prior education.

european journal of engineering education invites relevant contributions that combine scholarliness with usefulness for improving engineering education.
usefulness implies that papers should be useful to readers outside the context where the work was made. usefulness can take many forms, to readers who can be educators, researchers, specialists, leaders, or other stakeholders of engineering education.
scholarliness refers to the significance and novelty of the contribution, consistency and soundness of the research approach, connection to relevant literature, coherence and readability of the paper, as well as credibility and quality of the ideas and insights generated.

european journal of engineering education is the official journal of sefi, the european society for engineering education (société européenne pour la formation des ingénieurs). its members are higher education institutions, individuals, associations and companies who share the common goal of improving the engineering education and strengthening the image of the engineering profession.
author benefits
journal issues are published six times a year in print and electronic editions.
in addition to regular issues, the journal also occasionally publishes special issues on specific themes of general interest.
all papers published in this journal have undergone a rigorous peer review process, based on initial editor screening and anonymous double-blind reviewing by independent scholars.
papers are abstracted and indexed in a number of databases, among them scopus, educational research abstracts, cambridge scientific abstracts.
our author services page provides tips for further promoting your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
european journal of environmental and civil engineering,tece20,"the european research area has now become a reality. the prime objective of the ejece is to fully document advances in international scientific and technical research in the fields of sustainable construction and soil engineering. in particular regard to the latter, the mechanical behavior of natural media (soils and rocks) in their environment and the mitigation of soil-related risks are now not only major societal challenges, but they are also the source of scientific and technical developments that could be extremely beneficial.
areas covered by the ejece include rheology of geomaterials (cement, soils, rocks), natural media (muds, snow, ice, etc.) and granular materials, soil-fluid-structure interactions and their coupling with temperature, chemistry (degradation, etc.) and time (durability, ageing, etc.), computation and design of structures and engineering works. the new experimental facilities and measurement tools (metrology and sensors in laboratories and in the field, etc.) and the characterizing of displacement fields and of micro-meso-structures of materials (scanner, tomodensitometer, etc.) give rise to major innovations which concern thus primarily the ejece. finally the numerical methods (finite differences, finite elements, discrete elements, particulate methods, etc), which constitute obviously the bases of the modelling and of the computation of structures and engineering works, fall completely in the interest area of the journal.
manuscripts should present original studies including scientific advances. case studies could be considered only if they are related to a clear scientific or technical innovation. 
  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
european journal of information systems,tjis20,"the european journal of information systems provides a distinctive european perspective on the theory and practice of information systems for a global audience. we encourage first-rate articles that provide a critical view on information technology – its effects, development, implementation, strategy, management and policy.

manuscript genres

ejis categorizes papers according to the genre of research. more detail about these genres can be found in earlier ejis editorials (te'eni et al., 2015; rowe, 2012; rowe, 2014).

1. literature review
a literature review ‘synthesizes past knowledge on a topic or domain of interest, identifies important biases and knowledge gaps in the literature, and proposes corresponding future research directions’ (rowe, 2014, p. 243). researchers need to have a good conceptual framework or theory that they will use as an analytical lens to study a set of carefully selected papers (rowe, 2014).

2. theory development
ejis, as a european journal, accepts pure theory papers. we need theory to guide our reflections and endeavours. a good theory paper rests on arguments that build on the literature. however, unlike the first genre, these articles do not need to have a comprehensive literature review. the act of being reflexively critical is essential and is a distinguishing feature of this genre (te'eni et al., 2015).

3. empirical research
this genre includes papers that provide empirical data. however, these papers must also provide a theoretical contribution. apart from ‘ethnographies and narratives’ which are singled out at ejis as a separate genre, all other genres based on an analysis of empirical data fall under the ‘empirical research’ category. this category includes all types of empirical research strategies such as qualitative, quantitative and design science research (te'eni et al., 2015).

4. ethnographies and narratives
of the many streams of empirical research, we distinguish ethnographies and narratives (rowe, 2012). this genre responds to the need to better understand what people really do, how intentions develop, and how people take stances or make compromises. using ethnographic fieldwork, the researcher not only gains an in-depth understanding of the actors’ viewpoints. but also of the broad context within which they act (te'eni et al., 2015).

5. research essay
research essays usually relate to research methods, research practice or research philosophy.

6. issues and opinions
an ‘issues and opinions’ paper generally addresses an institutional problem or a disciplinary challenge or opportunity. this genre involves the articulation of a well-developed position statement concerning emerging, paradoxical, or controversial research issues.

7. response
this genre is simply a response to a paper previously published in ejis, of any genre. for example, an empirical response paper might replicate a previous study with a different method but come up with contradictory findings.

references
rowe f (2012) toward a richer diversity of genres in information systems research: new categorization and guidelines. european journal of information systems 21(5), 469-478.

rowe f (2014) what literature review is not: diversity, boundaries and recommendations. european journal of information systems 23(3), 241-255.

te'eni d, rowe f, ågerfalk pj and lee js (2015) publishing and getting published in ejis: marshaling contributions for a diversity of genres. european journal of information systems 24(6), 559-568.

authors can choose to publish gold open access in this journal.

read the instructions for authors for information on how to submit your article."
experimental heat transfer,ueht20,"experimental heat transfer provides a forum for experimentally based high quality research articles and communications in the general area of heat-mass transfer and the related energy fields. 
in addition to the established multifaceted areas of heat transfer and the associated thermal energy conversion, transport, and storage, the journal also communicates contributions from new and emerging areas of research such as micro- and nanoscale science and technology, life sciences and biomedical engineering, manufacturing processes, materials science, and engineering. heat transfer plays an important role in all of these areas, particularly in the form of innovative experiments and systems for direct measurements and analysis, as well as to verify or complement theoretical models.
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer reviews are single blind and submission is online via scholarone manuscripts. original, normal size articles, as well as technical notes are considered. review articles require previous communication and approval by the editor before submission for further consideration. 
publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
readership:
engineers and scientists in instrumentation; experimental and laser technology; heat transfer; and nuclear, petroleum, fluid, civil, energy, chemical, and mechanical engineering.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
fusion science and technology,ufst20,"fusion science and technology   aims to be the leading source of timely information on peaceful uses of fusion research. we publish technical papers, technical notes, critical reviews, rapid communications, book reviews, and letters to the editor on fusion applications, design, and system studies.
technical papers present archival, original contributions to the field of knowledge.

technical notes describe preliminary results or limited extensions of previously reported work.

critical reviews combine a focused topical overview with an extensive literature review to critically evaluate the state-of-the-art, but do not necessarily add new knowledge to the field.

rapid communications provide speedy publication, after accelerated review and processing, of innovative work of high and immediate interest to the journal readership.

book reviews give an overview of a recently published book, including a brief summary and statement of value to the community.

letters to the editor provide an expeditious medium for comments on editorial policies and for discussions on the content of other contributions.


we welcome submissions that explore the following topics:
fusion plasma physics
fusion plasma engineering
fusion plasma–enabling science and technology
fusion nuclear technology and material science
plasma and fusion energy physics
tokamak experiments
stellarators
next-step burning plasma experiments
target fabrication and technology for inertial confinement fusion
inertial fusion science and applications
tritium science and technology
magnetic and inertial fusion energy reactor studies
heating and current drive physics and technology
plasma control
plasma diagnostics
once your article has been assessed for suitability by the editor, it will be single-blind peer reviewed by expert referees.
author benefits
fusion science and technology is abstracted and indexed in several prestigious databases, including the science citation index expanded, scopus, inis collections search, and more.
we are an international research journal of the american nuclear society, providing your research an expanded reach to our 11,000 global members plus dozens of research libraries and institutions.

our author services page provides you with tips and tricks for promoting your research on social media and through your network. upon publication, authors are provided 50 free e-prints to share with anyone they wish.

quickly and easily track the impact of your paper with the help of authored works.

submissions
before submitting, review our instructions for authors page for journal guidelines.
all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to rigorous and rapid peer review by independent, anonymous expert referees. all peer review is single-blind and submission is online via the editorial manager electronic submission and review system.
questions? contact the journal office.

publishing ethics statement
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of committee of publication ethics (cope) and utilizes similarity check via crossref for all journals. more information on our ethical standards and policies can be found here: http://authorservices.taylorandfrancis.com/ethics-for-authors/.
the journal has an appeals and complaints policy which can be viewed here: https://authorservices.taylorandfrancis.com/peer-review-appeals-and-complaints-from-authors/.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
fusion technology,ufst19,home all journals fusion technology aims and scope
geocarto international,tgei20,"geocarto international is a professional academic journal serving the world-wide scientific and user community in the fields of remote sensing, gis, geoscience and environmental sciences. the journal is designed:
to promote multidisciplinary research in and application of remote sensing and gis in geosciences and environmental sciences;
to enhance international exchange of information on new developments and applications in the field of remote sensing and gis and related disciplines;
to foster interest in and understanding of science and applications on remote sensing and gis technologies; and
to encourage the publication of timely papers and research results on remote sensing and gis applications in geosciences and environmental sciences from the world-wide science community.
the journal welcomes contributions on the following:
precise, illustrated papers on new developments, technologies and applications of remote sensing;
research results in remote sensing, gisciences and related disciplines;
reports on new and innovative applications and projects in these areas; and
assessment and evaluation of new remote sensing and gis equipment, software and hardware.

peer review statement

geocarto international is an international, ranked, peer-reviewed journal which publishes original research contributions to scientific knowledge.

all manuscript submissions are subject to initial appraisal by the editors, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees.

all peer review is double blind and submission is online via scholarone.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
geomechanics and geoengineering,tgeo20,"geomechanics is concerned with the application of the principle of mechanics to earth-materials (namely geo-material). geoengineering covers a wide range of engineering disciplines related to geo-materials, such as foundation engineering, slope engineering, tunneling, rock engineering, engineering geology and geo-environmental engineering.
  geomechanics and geoengineering  is a major publication channel for research in the areas of soil and rock mechanics, geotechnical and geological engineering, engineering geology, geo-environmental engineering and all geo-material related engineering and science disciplines. the journal provides an international forum for the exchange of innovative ideas, especially between researchers in asia and the rest of the world.
  the journal welcomes papers concerned with any aspect of geomechanics and geoengineering, including material behaviour, analysis procedures, design and construction. papers published may take one of the following forms: practioners’ detailed records of construction and performance (case studies), academic research studies, state-of-the-art reviews by invited authors, symposia in print, technical notes and discussion. while paper submissions from all parts of the world are equally welcome, the journal is committed to publish high quality papers from china and other asian countries.
  all published research articles in this journal have undergone rigorous single blind peer review, based on initial editor screening and anonymous refereeing by independent expert referees. all submissions are to be made online using the scholarone site
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
georisk: assessment and management of risk for engineered systems and geohazards,ngrk20,home all journals georisk: assessment and management of risk for engineered systems and geohazards aims and scope
geosystem engineering,tges20,"geosystem engineering  comprehensively covers new developments in the field of mineral and energy resources engineering specially focusing on oil and natural gas exploration, analytical and economical geochemistry, geophysics, geology and applied geology, evaluation of the effects of mining activities, role of surface environment and impacts on human health, resource economics and policy, and related studies.
the editors encourage original research contributions that have novelty, quality, and of potential industrial significance. the manuscripts delivering clearly stated practical scope, applicability in the area of mineral and energy resources engineering, and delivering new theoretical concepts well supported by experimental details will be encouraged. the journal publishes contributions including review paper, research paper, short communication, and discussion.
star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries. our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals. for more information, please visit the star website.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
hvacandr research,uhvc20,home all journals hvacandr research aims and scope
health systems,thss20,"health systems promotes the idea that all aspects of health and healthcare delivery can be viewed from a systems perspective. the belief of the journal is that health and healthcare systems are characterized by complexity and interconnectedness, where ""everything affects everything else"".

the principal aims of health systems is to bring together critical health operations and it research and commentary, and to provide a forum that welcomes diverse viewpoints and research approaches. to find out more about the journal ethos, please read our inaugural editorial. 

we encourage submissions that provide an interdisciplinary perspective and insights to benefit multiple disciplines.

we focus on submissions that look at healthcare systems and publish research that explores health it and operational research – areas that are underrepresented by research publications. each area has a dedicated editor that understands the domain and the international view from a systems perspective. we welcome submissions in the following health systems areas:

clinical informatics and telemedicine
consumer health informatics and mobile health
disease modelling
group modelling and facilitation in healthcare
health it economics
health it quality and evaluation
health system evaluation using or for emerging problems (e.g. covid19, global challenges)
healthcare design science
human-computer interaction in health systems
mathematical modelling
operations management
performance measurement, and decision and risk analysis
precision healthcare and data analytics
problem structuring and soft or
public health informatics
simulation modelling
technical architecture of health it

for more information on each topic area, please see our editorial board page. we encourage potential authors to  contact our area editors to see if their research fits within the scope of  health systems.

pure science disciplines, such as for example clinical medicine, biochemistry and pharmacology do not fall within the remit of health systems. 

once your paper has been assessed for suitability by the editor, it will then be double blind peer-reviewed by independent, anonymous expert referees.

read the instructions for authors for information on how to submit your article."
heat transfer engineering,uhte20,"publishing 22 issues per year, heat transfer engineering is an unparalleled resource for key advances in the field of heat transfer for the practicing engineer and other workers in the field. the journal publishes analytical, numerical, and experimental articles of lasting interest in the general area of heat-mass transfer and the related fluid mechanics and thermodynamics. 
  in a clear, easy-to-read format, the journal includes refereed papers of original work, state-of-the-art reviews, articles on new developments in equipment or practices, reviews of fundamentals, heat in history articles, book reviews, news items on people and companies in the field, advertising, and any other items that may be appropriate.
  all submitted manuscripts are subject to initial appraisal by the editor and/or selected members of the editorial board, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. 
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
readership
practicing engineers and specialists in heat transfer.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
iete journal of education,tije20,"iete journal of education is a world-leading journal that publishes topics and issues related to electronics engineering education which are of general interest to diploma and undergraduate students, research scholars and teachers.
  the journal publishes tutorial and review articles, new interpretations and extensions of known concepts and innovative design ideas related to electronics, communications, computer engineering and information technology. the journal also provides supplementary resources to iete students to help with preparing for their qualifying examinations.
  all submitted manuscripts are subject to initial appraisal by the editor-in-chief, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts.
  proposals for special issues in cutting-edge areas are encouraged and should be discussed with the editor-in-chief.
  queries regarding submissions can be made by contacting the editor-in-chief, whose decision is final.
taylor and francis is a member of the committee of publications ethics (cope) . taylor and francis and the iete are committed to peer review integrity and upholding the highest standards of review in our journals. to help us maintain these high standards, we provide guidelines for ethical publishing. click  here for more details.
 
taylor and francis group acknowledges that the long-term preservation of its electronic content is of critical importance and that it has a significant role to play to ensure its content is available and accessible over time. taylor and francis group has an archival strategy in place that provides for the deposit of its electronic source files into an acceptable non-profit third-party archive, including portico and lockss, so that our content will be actively preserved and available in the event it is no longer offered by taylor and francis group or a successor.

we are also participants in the clockss pilot project. in addition, an agreement with the dutch national library has been signed to protect the future of our online archive.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
